"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Brandan Wright","PF (4.0)","38","376",".193","2.9","1.51","19.3","12.7","1.2","1.7","2.8","0.8","4.6",2007,"gsw"
"Chris Webber","FC (4.5)","9","126",".021","-2.4","0.06","13.4","12.2","6.9","4.2","2.3","1.5","6.5",2007,"gsw"
"C.J. Watson","G (1.5)","32","368",".084","-0.5","0.64","15.4","4.2","4.6","2.3","0.0","2.0","2.5",2007,"gsw"
"Didier Ilunga-Mbenga","C (5.0)","16","130","-.019","-3.7","-0.05","7.0","11.4","1.5","1.5","3.7","1.1","11.8",2007,"gsw"
"Kelenna Azubuike","GF (2.5)","81","1731",".128","0.9","4.61","19.2","9.0","2.1","1.6","0.9","1.2","4.4",2007,"gsw"
"Kosta Perovic","F (4.0)","7","38",".047","-1.6","0.04","12.7","16.5","1.3","1.3","2.5","0.0","7.6",2007,"gsw"
"Marco Belinelli","SG (2.0)","33","240","-.088","-5.8","-0.44","19.0","2.8","3.0","2.4","0.0","1.0","3.0",2007,"gsw"
"Matt Barnes","GF (3.0)","73","1413",".149","1.5","4.37","16.5","11.0","4.7","2.9","1.2","1.6","5.4",2007,"gsw"
"Mickael Pietrus","GF (2.9)","66","1315",".132","1.0","3.61","17.2","8.8","1.8","1.8","1.6","2.4","7.3",2007,"gsw"
"Monta Ellis","G (1.8)","81","3070",".185","2.7","11.82","25.6","6.3","4.9","2.7","0.4","1.9","3.0",2007,"gsw"
"Patrick O'Bryant","C (5.0)","24","99",".075","-0.7","0.15","16.9","14.0","1.9","3.4","4.4","1.9","13.1",2007,"gsw"
"Stephane Lasme","F (4.0)","1","0","-.074","-5.4","-0.00","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2007,"gsw"
"Stephen Jackson","GF (3.8)","73","2855","-.017","-3.6","-0.99","24.7","5.3","5.0","3.3","0.5","1.5","2.9",2007,"gsw"
"Troy Hudson","PG (1.0)","9","93","-.128","-7.1","-0.25","14.4","3.6","4.6","3.6","0.0","1.5","2.1",2007,"gsw"
"Al Harrington","FC (4.5)","5","166","-.160","-8.0","-0.55","17.9","8.1","2.9","2.0","0.0","2.0","4.0",2008,"gsw"
"Andris Biedrins","C (5.0)","62","1863",".253","4.8","9.84","18.9","17.9","3.1","2.8","2.5","1.6","6.1",2008,"gsw"
"Anthony Morrow","GF (2.5)","67","1515",".112","0.4","3.55","21.4","6.3","2.5","1.6","0.4","1.1","4.1",2008,"gsw"
"Anthony Randolph","FC (4.5)","63","1129",".093","-0.2","2.19","21.2","15.4","2.1","3.4","3.1","1.8","6.0",2008,"gsw"
"Brandan Wright","PF (4.0)","39","688",".137","1.2","1.96","22.5","11.0","1.5","1.6","2.6","1.5","5.2",2008,"gsw"
"C.J. Watson","G (1.0)","77","1883",".106","0.2","4.17","18.6","4.9","5.3","2.3","0.1","2.4","3.5",2008,"gsw"
"Corey Maggette","F (4.0)","51","1588","-.039","-4.3","-1.28","28.7","8.5","2.8","3.6","0.2","1.3","5.8",2008,"gsw"
"DeMarcus Nelson","G (1.1)","13","171","-.128","-7.0","-0.45","14.9","6.7","3.7","4.2","0.6","2.5","6.7",2008,"gsw"
"Jamal Crawford","G (1.5)","54","2086",".030","-2.2","1.29","24.5","4.0","5.5","2.8","0.3","1.1","1.8",2008,"gsw"
"Jermareo Davidson","F (4.0)","14","111",".028","-2.2","0.06","18.2","14.7","0.4","2.2","1.3","0.9","5.2",2008,"gsw"
"Kelenna Azubuike","GF (2.5)","74","2374",".104","0.1","5.13","21.5","7.5","2.4","1.9","1.0","1.2","3.7",2008,"gsw"
"Marco Belinelli","SG (2.0)","42","882","0","-3.1","-0.00","20.3","3.9","4.8","3.2","0.1","2.0","4.0",2008,"gsw"
"Marcus Williams","F (4.0)","9","53","-.316","-12.9","-0.35","10.8","3.6","11.7","3.6","0.9","0.9","5.4",2008,"gsw"
"Monta Ellis","G (1.0)","25","892","-.049","-4.6","-0.91","25.5","5.8","5.0","3.6","0.4","2.1","3.6",2008,"gsw"
"Rob Kurz","F (4.0)","40","442","-.031","-4.0","-0.29","17.1","8.8","2.2","1.7","2.1","1.5","8.5",2008,"gsw"
"Ronny Turiaf","FC (4.9)","79","1695",".121","0.7","4.26","13.3","10.2","4.7","2.0","4.8","1.0","6.9",2008,"gsw"
"Stephen Jackson","GF (3.1)","59","2338",".050","-1.5","2.45","25.1","6.2","7.8","4.7","0.6","1.8","3.1",2008,"gsw"
"Acie Law","PG (1.0)","5","66",".317","6.8","0.44","22.5","1.5","5.1","1.5","0.0","4.4","3.6",2009,"gsw"
